date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2026-03-02,3046.467,8476.965,1.3536545823332145,-6.872431976165123,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.19391733431605296,1.0
2026-03-03,3014.27,8142.454,1.3943718519153523,-4.746404554168377,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.17889721227957814,1.0
2026-03-04,2974.21,8094.518,1.3839882596175122,-4.3528054963621825,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.19672178370043208,1.0
2026-03-05,2988.451,8171.119,1.377578555634529,-4.552511038977847,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.19865207834485227,1.0
2026-03-06,2992.702,8248.857,1.366537231781509,-4.130361406758954,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.19942054674650145,1.0
2026-03-09,2962.989,8203.869,1.360388938436389,-4.415092600655426,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.1809160443812165,1.0
2026-03-10,2981.835,8350.09,1.3450679398931213,-5.316764206459246,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.18079190173238505,1.0
2026-03-11,2985.345,8363.526,1.3444878618483045,-6.767940987228717,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.17545043520814244,1.0
2026-03-12,2971.561,8335.908,1.3427139675444126,-6.63595199708761,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.1663135177366588,1.0
2026-03-13,2956.847,8214.293,1.3558462136653238,-2.9055590213822784,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.1593758239939477,1.0
2026-03-16,2954.089,8211.352,1.3550667082529735,0.5368982442502475,0.0,3.0037768417294908,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.154917085152527,1.0
